steps_today,avg_last_7_days,days_goal_reached_last_7,trend,recommendation_type
14728,12105,1,2623,HOME_WORKOUT
3046,11219,5,-8173,LIGHT_WALK
7118,10027,0,-2909,HOME_WORKOUT
7242,9599,4,-2357,HOME_WORKOUT
2764,10656,2,-7892,LIGHT_WALK
4924,11449,6,-6525,LIGHT_WALK
5064,4268,1,796,MODERATE_WALK
6820,7621,1,-801,MODERATE_WALK
2869,2187,1,682,LIGHT_WALK
3510,6349,6,-2839,LIGHT_WALK
8865,7533,3,1332,HOME_WORKOUT
6554,13674,6,-7120,LIGHT_WALK
7289,5194,6,2095,HOME_WORKOUT
14596,2903,0,11693,HOME_WORKOUT
11697,10415,7,1282,RECOVERY_DAY
4220,3497,4,723,MODERATE_WALK
11980,9683,7,2297,RECOVERY_DAY
11668,4779,7,6889,HOME_WORKOUT
1459,2764,1,-1305,LIGHT_WALK
8124,2425,5,5699,HOME_WORKOUT
9043,2874,7,6169,HOME_WORKOUT
8108,10695,6,-2587,RECOVERY_DAY
10252,2058,5,8194,HOME_WORKOUT
2336,5148,7,-2812,LIGHT_WALK
4933,12624,6,-7691,LIGHT_WALK
6844,10440,6,-3596,LIGHT_WALK
5893,6546,3,-653,MODERATE_WALK
2958,6187,7,-3229,LIGHT_WALK
12585,10825,5,1760,RECOVERY_DAY
14256,12026,6,2230,RECOVERY_DAY
10723,4573,3,6150,HOME_WORKOUT
11855,12755,7,-900,RECOVERY_DAY
8915,3353,5,5562,HOME_WORKOUT
5945,9329,2,-3384,LIGHT_WALK
3751,5665,2,-1914,LIGHT_WALK
998,4149,4,-3151,LIGHT_WALK
7418,3943,2,3475,HOME_WORKOUT
7446,10128,7,-2682,RECOVERY_DAY
14390,2735,7,11655,HOME_WORKOUT
11983,5307,4,6676,HOME_WORKOUT
3081,2216,5,865,MODERATE_WALK
1520,7392,1,-5872,LIGHT_WALK
13000,6323,7,6677,HOME_WORKOUT
4506,12638,6,-8132,LIGHT_WALK
7325,1018,1,6307,HOME_WORKOUT
13398,7137,6,6261,HOME_WORKOUT
6928,6228,1,700,MODERATE_WALK
3243,13472,5,-10229,LIGHT_WALK
11891,5806,6,6085,HOME_WORKOUT
13063,10424,4,2639,HOME_WORKOUT
4368,5185,5,-817,MODERATE_WALK
4236,12192,7,-7956,LIGHT_WALK
550,13012,2,-12462,LIGHT_WALK
1877,11914,5,-10037,LIGHT_WALK
7593,2189,3,5404,HOME_WORKOUT
7586,13018,2,-5432,HOME_WORKOUT
11831,8809,5,3022,HOME_WORKOUT
4437,6490,5,-2053,LIGHT_WALK
2582,11684,3,-9102,LIGHT_WALK
6381,11425,0,-5044,LIGHT_WALK
12163,7117,5,5046,HOME_WORKOUT
2140,8648,0,-6508,LIGHT_WALK
4833,12598,7,-7765,LIGHT_WALK
6845,8793,0,-1948,LIGHT_WALK
10520,6729,7,3791,HOME_WORKOUT
6362,12738,1,-6376,LIGHT_WALK
14715,9908,0,4807,HOME_WORKOUT
5748,10699,4,-4951,LIGHT_WALK
10209,8963,6,1246,HOME_WORKOUT
7845,9179,5,-1334,RECOVERY_DAY
11153,10137,3,1016,HOME_WORKOUT
3301,6627,3,-3326,LIGHT_WALK
900,10897,4,-9997,LIGHT_WALK
12982,4541,2,8441,HOME_WORKOUT
12061,12900,7,-839,RECOVERY_DAY
10218,5350,7,4868,HOME_WORKOUT
7460,7070,6,390,HOME_WORKOUT
3445,3539,2,-94,MODERATE_WALK
5446,3935,5,1511,MODERATE_WALK
11193,8282,1,2911,HOME_WORKOUT
1731,1953,1,-222,LIGHT_WALK
5083,8056,7,-2973,LIGHT_WALK
10708,10758,5,-50,RECOVERY_DAY
9198,3192,4,6006,HOME_WORKOUT
2858,11088,3,-8230,LIGHT_WALK
9008,3003,3,6005,HOME_WORKOUT
2300,1735,3,565,LIGHT_WALK
8432,3943,4,4489,HOME_WORKOUT
11118,7430,0,3688,HOME_WORKOUT
7991,1567,6,6424,HOME_WORKOUT
5369,1621,5,3748,MODERATE_WALK
6673,8592,5,-1919,LIGHT_WALK
4476,4096,1,380,MODERATE_WALK
5226,3820,4,1406,MODERATE_WALK
12874,10910,1,1964,HOME_WORKOUT
9112,6203,2,2909,HOME_WORKOUT
6529,8621,3,-2092,LIGHT_WALK
10268,12500,4,-2232,HOME_WORKOUT
12404,7501,5,4903,HOME_WORKOUT
7993,6676,3,1317,HOME_WORKOUT
9546,5008,1,4538,HOME_WORKOUT
2349,12665,3,-10316,LIGHT_WALK
8610,3062,1,5548,HOME_WORKOUT
5563,5273,5,290,MODERATE_WALK
594,9492,5,-8898,LIGHT_WALK
2948,4795,7,-1847,LIGHT_WALK
11561,3183,2,8378,HOME_WORKOUT
14451,2780,3,11671,HOME_WORKOUT
10018,12178,5,-2160,RECOVERY_DAY
5436,5879,4,-443,MODERATE_WALK
12218,8737,1,3481,HOME_WORKOUT
3762,9412,3,-5650,LIGHT_WALK
3126,8124,1,-4998,LIGHT_WALK
13389,8671,1,4718,HOME_WORKOUT
9504,12797,6,-3293,RECOVERY_DAY
3359,4981,4,-1622,LIGHT_WALK
11927,2189,7,9738,HOME_WORKOUT
14859,5036,4,9823,HOME_WORKOUT
14923,13859,1,1064,HOME_WORKOUT
12657,5298,2,7359,HOME_WORKOUT
1070,5899,4,-4829,LIGHT_WALK
8715,5497,0,3218,HOME_WORKOUT
4680,13740,0,-9060,LIGHT_WALK
13947,12707,3,1240,HOME_WORKOUT
14278,7831,2,6447,HOME_WORKOUT
1487,7836,2,-6349,LIGHT_WALK
3020,2740,1,280,MODERATE_WALK
9850,1302,6,8548,HOME_WORKOUT
9198,3941,6,5257,HOME_WORKOUT
1539,5324,7,-3785,LIGHT_WALK
8995,3447,4,5548,HOME_WORKOUT
7281,11071,5,-3790,RECOVERY_DAY
7109,1521,3,5588,HOME_WORKOUT
4648,4127,1,521,MODERATE_WALK
1890,4091,5,-2201,LIGHT_WALK
12016,9904,0,2112,HOME_WORKOUT
8757,11168,5,-2411,RECOVERY_DAY
14932,9934,1,4998,HOME_WORKOUT
12487,12458,2,29,HOME_WORKOUT
14745,7355,2,7390,HOME_WORKOUT
12991,6492,5,6499,HOME_WORKOUT
6308,7907,6,-1599,LIGHT_WALK
6461,13452,6,-6991,LIGHT_WALK
3077,1357,7,1720,MODERATE_WALK
12882,12882,5,0,RECOVERY_DAY
1311,5325,3,-4014,LIGHT_WALK
10716,5592,5,5124,HOME_WORKOUT
8358,10203,5,-1845,RECOVERY_DAY
5846,7477,5,-1631,LIGHT_WALK
939,6905,4,-5966,LIGHT_WALK
14120,3573,3,10547,HOME_WORKOUT
2618,11641,1,-9023,LIGHT_WALK
8216,7348,5,868,HOME_WORKOUT
11912,1215,4,10697,HOME_WORKOUT
10302,5519,1,4783,HOME_WORKOUT
9260,10058,0,-798,HOME_WORKOUT
6573,8764,2,-2191,LIGHT_WALK
2867,8704,6,-5837,LIGHT_WALK
6439,11174,7,-4735,LIGHT_WALK
8257,9918,0,-1661,HOME_WORKOUT
10288,13944,6,-3656,RECOVERY_DAY
12709,5658,3,7051,HOME_WORKOUT
2748,8237,1,-5489,LIGHT_WALK
12826,11296,4,1530,HOME_WORKOUT
7944,4551,7,3393,HOME_WORKOUT
5845,12175,2,-6330,LIGHT_WALK
514,9000,5,-8486,LIGHT_WALK
5815,10632,0,-4817,LIGHT_WALK
4201,1607,6,2594,MODERATE_WALK
13864,13539,0,325,HOME_WORKOUT
12373,13928,7,-1555,RECOVERY_DAY
1032,4960,4,-3928,LIGHT_WALK
4760,7563,1,-2803,LIGHT_WALK
1238,10127,7,-8889,LIGHT_WALK
14746,10749,3,3997,HOME_WORKOUT
7077,12103,5,-5026,RECOVERY_DAY
4550,8438,2,-3888,LIGHT_WALK
4313,6438,4,-2125,LIGHT_WALK
4655,10248,1,-5593,LIGHT_WALK
8221,7055,5,1166,HOME_WORKOUT
8207,6102,1,2105,HOME_WORKOUT
9081,11141,5,-2060,RECOVERY_DAY
1865,5217,6,-3352,LIGHT_WALK
4358,4233,2,125,MODERATE_WALK
6245,4217,4,2028,MODERATE_WALK
4682,6197,1,-1515,LIGHT_WALK
659,8024,5,-7365,LIGHT_WALK
7142,3755,3,3387,HOME_WORKOUT
5528,1613,4,3915,MODERATE_WALK
6430,9142,7,-2712,LIGHT_WALK
9560,8966,5,594,HOME_WORKOUT
10769,13504,5,-2735,RECOVERY_DAY
2162,7538,6,-5376,LIGHT_WALK
11381,10756,7,625,RECOVERY_DAY
5307,10929,6,-5622,LIGHT_WALK
6748,3155,2,3593,MODERATE_WALK
11761,10677,3,1084,HOME_WORKOUT
9934,2668,3,7266,HOME_WORKOUT
7859,3177,7,4682,HOME_WORKOUT
12398,5220,1,7178,HOME_WORKOUT
13364,6757,6,6607,HOME_WORKOUT
12314,3698,5,8616,HOME_WORKOUT
14883,10367,6,4516,RECOVERY_DAY
14493,5340,3,9153,HOME_WORKOUT
8949,11811,0,-2862,HOME_WORKOUT
12595,12177,2,418,HOME_WORKOUT
2178,8262,2,-6084,LIGHT_WALK
10916,11769,7,-853,RECOVERY_DAY
10511,6193,5,4318,HOME_WORKOUT
10344,7295,2,3049,HOME_WORKOUT
7370,12267,2,-4897,HOME_WORKOUT
6141,6504,3,-363,MODERATE_WALK
1358,4019,7,-2661,LIGHT_WALK
10213,5126,5,5087,HOME_WORKOUT
13416,11396,7,2020,RECOVERY_DAY
3370,6831,0,-3461,LIGHT_WALK
601,3140,6,-2539,LIGHT_WALK
10513,1805,3,8708,HOME_WORKOUT
13150,13866,7,-716,RECOVERY_DAY
2651,9217,5,-6566,LIGHT_WALK
7582,10168,5,-2586,RECOVERY_DAY
2952,9182,5,-6230,LIGHT_WALK
10012,7798,5,2214,HOME_WORKOUT
14926,10041,4,4885,HOME_WORKOUT
6621,13751,1,-7130,LIGHT_WALK
12803,2269,3,10534,HOME_WORKOUT
8150,3002,1,5148,HOME_WORKOUT
815,7170,0,-6355,LIGHT_WALK
5995,10821,1,-4826,LIGHT_WALK
13182,5465,3,7717,HOME_WORKOUT
13594,8902,6,4692,HOME_WORKOUT
10824,3336,1,7488,HOME_WORKOUT
11263,4224,4,7039,HOME_WORKOUT
9967,3655,3,6312,HOME_WORKOUT
1291,12358,4,-11067,LIGHT_WALK
1207,11892,0,-10685,LIGHT_WALK
9767,6222,6,3545,HOME_WORKOUT
13891,4380,0,9511,HOME_WORKOUT
3357,9048,7,-5691,LIGHT_WALK
5742,4354,5,1388,MODERATE_WALK
11667,3012,1,8655,HOME_WORKOUT
890,9697,5,-8807,LIGHT_WALK
10105,5351,7,4754,HOME_WORKOUT
4777,5189,6,-412,MODERATE_WALK
7512,9567,3,-2055,HOME_WORKOUT
10364,12810,5,-2446,RECOVERY_DAY
4898,4631,6,267,MODERATE_WALK
12319,4218,2,8101,HOME_WORKOUT
9563,13408,5,-3845,RECOVERY_DAY
14648,9846,2,4802,HOME_WORKOUT
4727,12555,2,-7828,LIGHT_WALK
10389,10004,6,385,RECOVERY_DAY
1222,3761,7,-2539,LIGHT_WALK
9105,4171,4,4934,HOME_WORKOUT
14547,10138,1,4409,HOME_WORKOUT
2484,13250,6,-10766,LIGHT_WALK
3496,9760,0,-6264,LIGHT_WALK
13194,7104,2,6090,HOME_WORKOUT
14030,13876,1,154,HOME_WORKOUT
998,6271,2,-5273,LIGHT_WALK
2138,6345,3,-4207,LIGHT_WALK
6302,7678,0,-1376,MODERATE_WALK
14961,9951,4,5010,HOME_WORKOUT
7353,13918,3,-6565,HOME_WORKOUT
12120,1938,7,10182,HOME_WORKOUT
4196,12187,1,-7991,LIGHT_WALK
11626,12004,5,-378,RECOVERY_DAY
8089,4706,3,3383,HOME_WORKOUT
4120,6370,5,-2250,LIGHT_WALK
12818,6610,1,6208,HOME_WORKOUT
6786,10541,4,-3755,LIGHT_WALK
2295,1564,3,731,LIGHT_WALK
11926,11208,7,718,RECOVERY_DAY
7510,6777,5,733,HOME_WORKOUT
4478,7795,1,-3317,LIGHT_WALK
4303,12354,1,-8051,LIGHT_WALK
14093,11310,4,2783,HOME_WORKOUT
